"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2989","Изменение количества товаров на странице","chromium","Thu Dec 19 13:01:36 GMT 2024","passed","Thu Dec 19 13:01:39 GMT 2024","Academybugs","academy.spec.js","",""
"","2876","Отправка комментария к товару","chromium","Thu Dec 19 13:01:47 GMT 2024","passed","Thu Dec 19 13:01:49 GMT 2024","Academybugs","academy.spec.js","",""
"","4847","Проверка описания товара","chromium","Thu Dec 19 13:01:49 GMT 2024","passed","Thu Dec 19 13:01:54 GMT 2024","Academybugs","academy.spec.js","",""
"","4077","Переход на страницу производителя","chromium","Thu Dec 19 13:01:40 GMT 2024","passed","Thu Dec 19 13:01:44 GMT 2024","Academybugs","academy.spec.js","",""
"","2934","Изменение валюты","chromium","Thu Dec 19 13:01:44 GMT 2024","passed","Thu Dec 19 13:01:47 GMT 2024","Academybugs","academy.spec.js","",""
